model,horizon_step,horizon,MAE,RMSE,MAPE,R2,scenario,fold,seed
Raw_GRU__fold2__seed42,4,60 min,0.26086796497189724,0.33615100778750984,5.378345787995668,0.8394802554195746,Raw_GRU,2,42
Raw_GRU__fold2__seed42,overall,overall,0.2550335617860158,0.3304960112030099,5.276903666362076,0.8433489648098123,Raw_GRU,2,42
LSTM_Suitability__fold2__seed42,1,15 min,0.25874354338461114,0.3319982121553399,5.242257863323577,0.8407417943380394,LSTM_Suitability,2,42
LSTM_Suitability__fold2__seed42,2,30 min,0.2428338152123976,0.3175537344440569,4.9952918624822,0.8545960458330679,LSTM_Suitability,2,42
LSTM_Suitability__fold2__seed42,3,45 min,0.2304770615858625,0.3087809246318635,4.812344241018916,0.8636811278765407,LSTM_Suitability,2,42
LSTM_Suitability__fold2__seed42,4,60 min,0.2686496165556501,0.3408948706750634,5.446026629170069,0.8349176821529163,LSTM_Suitability,2,42
LSTM_Suitability__fold2__seed42,overall,overall,0.25017600918463034,0.32504544274715863,5.12398014899869,0.8484733619845134,LSTM_Suitability,2,42
LSTM_Excursion__fold2__seed42,1,15 min,0.2661470832288727,0.33736443262027704,5.412558746284573,0.8355518785447031,LSTM_Excursion,2,42
LSTM_Excursion__fold2__seed42,2,30 min,0.242003241463225,0.3153422989012479,4.991069459399828,0.8566141725292039,LSTM_Excursion,2,42
LSTM_Excursion__fold2__seed42,3,45 min,0.23685211707455242,0.31365579898192786,4.9528104525489764,0.8593428867044705,LSTM_Excursion,2,42
LSTM_Excursion__fold2__seed42,4,60 min,0.25514665517696117,0.3300394399992192,5.228713966234184,0.8452640206914431,LSTM_Excursion,2,42
LSTM_Excursion__fold2__seed42,overall,overall,0.2500372742359029,0.32425357286524814,5.146288156116889,0.8492107556359922,LSTM_Excursion,2,42
LSTM_Stability__fold2__seed42,1,15 min,0.2647144104528797,0.3394904056085176,5.465737436197004,0.8334727391458316,LSTM_Stability,2,42
LSTM_Stability__fold2__seed42,2,30 min,0.25922241489092507,0.33536515208139206,5.382854920164132,0.8378273423027063,LSTM_Stability,2,42
LSTM_Stability__fold2__seed42,3,45 min,0.24517560037531594,0.3244963546067017,5.197529419666693,0.8494520999427528,LSTM_Stability,2,42
LSTM_Stability__fold2__seed42,4,60 min,0.2542312044690746,0.3281608193949011,5.269009255189459,0.8470205554786168,LSTM_Stability,2,42
LSTM_Stability__fold2__seed42,overall,overall,0.25583590754704877,0.3319303120648151,5.328782757804321,0.8419863325518893,LSTM_Stability,2,42
Full_Assessment_Guided_LSTM__fold2__seed42,1,15 min,0.277906442104384,0.3508325564511175,5.645582480683815,0.8221597318663655,Full_Assessment_Guided_LSTM,2,42
Full_Assessment_Guided_LSTM__fold2__seed42,2,30 min,0.26305110091386835,0.3402386368219558,5.398000757322463,0.8330797495820934,Full_Assessment_Guided_LSTM,2,42
Full_Assessment_Guided_LSTM__fold2__seed42,3,45 min,0.2524490116640579,0.32986541760372345,5.24928654132829,0.8444290039570236,Full_Assessment_Guided_LSTM,2,42
